Country_Year,Happiness,GDP,Family,Health,Freedom,Generosity,Trust_gov
Iraq_2016,0.3613936377407488,0.5891342838505265,0.5003549515744637,0.5360790117237108,0.40849329476728896,0.26990756319154396,0.2389747593661173
Namibia_2016,0.3611772343648561,0.5113661903117411,0.5946453019623752,0.36467353086264254,0.7989416250328687,0.2058154034955761,0.09509460662917374
Cameroon_2016,0.3479766284354036,0.2877699024815405,0.5285566992884065,0.13327455734332522,0.7023402576912964,0.1212565071950278,0.2766832172353637
Ethiopia_2016,0.34689461155594026,0.16051900212139653,0.3205719791085645,0.3629207468749016,0.6031915592952932,0.33985867263118297,0.3601517609886423
South Africa_2016,0.3362908461371997,0.5614081248937931,0.8117657995706775,0.19533570536435865,0.6981823560347095,0.16656439896280753,0.16659550328774808
Sri Lanka_2016,0.3267690975979225,0.5334627001485526,0.7165204604228994,0.650807645076986,0.835146594793584,0.15763741810336296,0.5731051225433385
India_2016,0.3243886604631032,0.4058390479479463,0.24717306424623497,0.4732621724025735,0.6620595582434919,0.17264107994695274,0.3053274938697832
Myanmar_2016,0.3224410300800692,0.18698986443892626,0.591425384108311,0.4185690145575532,0.7016171443597159,0.4006848637200372,1.0
Egypt_2016,0.3152997186756113,0.5229214973660696,0.42098101854199416,0.5469945527252118,0.30973902182487506,0.20571643474990595,0.15500603872101104
Armenia_2016,0.3148669119238261,0.4718928667357354,0.5280073694707841,0.6725967442299821,0.23068958716802526,0.07157419686862887,0.09507020775640164
Kenya_2016,0.3140012984202553,0.28650912419762425,0.6443216199313759,0.3164142447810069,0.6668419668682619,0.13234100671008095,0.5041783069622183
Ukraine_2016,0.3070763903916901,0.4784763220356636,0.8570643814546254,0.6153426325346095,0.21132987115435184,0.03620276716612893,0.24841712312891145
Ghana_2016,0.2966890283488422,0.34593015288307105,0.4170934536788196,0.31152324275533444,0.6733664212463845,0.06452762217691653,0.2586646496931842
Congo (Kinshasa)_2016,0.29582341484527164,0.031031590718479177,0.6818112671771209,0.1973193950271314,0.25640941362082564,0.1202470259891926,0.31057325151578
Georgia_2016,0.2914953473274183,0.4593179737648485,0.16267768706793098,0.6720929500299127,0.5334768603733894,0.6310247223926683,0.08278537531566042
Congo (Brazzaville)_2016,0.28803289331313586,0.42268414215001066,0.4039602454236601,0.2961050410907144,0.6234880357612411,0.19304843530413093,0.14733259323419254
Senegal_2016,0.2843540359229603,0.24291360379768345,0.6542602640163616,0.42462504067088586,0.5103865369445175,0.23121078363452816,0.23304583328250236
Bulgaria_2016,0.283921229171175,0.6101399463895146,0.7820935381910992,0.7116722818728548,0.3487214041546148,0.012173155717424436,0.15606738968659645
Mauritania_2016,0.2804587751568925,0.3365236505561129,0.7111032232983453,0.30058671032883066,0.20838811464633186,0.35539676570139145,0.27675641385367994
Zimbabwe_2016,0.2787275481497513,0.1920823123770056,0.6040768723695553,0.1674066143980184,0.4179102024717328,0.16986995506818947,0.2257261714508789
Malawi_2016,0.2707206232417227,0.04773964380272657,0.12423305106231936,0.3081961018923769,0.6808769392584801,0.14971991844975355,0.37779214600285466
Sudan_2016,0.26704176585154715,0.3457218503839892,0.6923922045873264,0.312341908330447,0.0,0.19870944755646164,0.2205292115504264
Gabon_2016,0.26314650508547943,0.6350540216086434,0.6115984652570019,0.366720194800424,0.4617735997896398,0.18435897943429466,0.07617328079442727
Mali_2016,0.2527591430426316,0.1715316263491698,0.7296198637662051,0.17157341226109132,0.4526689455692874,0.2701252944320184,0.2569689280355248
Haiti_2016,0.2430209911274617,0.18690763976823604,0.24982674982674985,0.28856911951467823,0.1983960031554036,0.2865343124641238,0.5850605702016567
Botswana_2016,0.2313352088292577,0.5998344543296771,0.7537312171458513,0.3647470008501527,0.7245759926373915,0.2131588844242988,0.15157799709653413
Comoros_2016,0.2274399480631899,0.1507945644011029,0.5098034244375709,0.3146719565057673,0.2532868787799106,0.3649373527839908,0.22288370277293187
Ivory Coast_2016,0.21878381302748331,0.3042696530667061,0.4865879012220476,0.04697880915645959,0.6682717591375229,0.3073969240513845,0.24811213721926045
