Country_Year,GNI_per_cap,Labor_force,Life_expectancy,Population
Mozambique_2015,640.0,11628554.0,57.206,27042002.0
Mozambique_2017,470.0,12371703.0,59.309,28649007.0
Mozambique_2018,460.0,12772428.0,60.163000000000004,29495962.0
Mauritania_2015,1640.0,1099054.0,63.93600000000001,4046301.0
Mauritania_2016,1510.0,1135240.0,64.208,4163534.0
Mauritania_2017,1500.0,1172264.0,64.464,4282574.0
Mauritania_2018,1580.0,1210148.0,64.704,4403319.0
Mauritius_2015,10700.0,603765.0,74.3531707317073,1262605.0
Mauritius_2016,10640.0,600981.0,74.3948780487805,1263473.0
Mauritius_2017,10980.0,608131.0,74.51463414634149,1264613.0
Mauritius_2018,12040.0,608753.0,74.4163414634146,1265303.0
Malawi_2015,350.0,7106401.0,61.953,16745303.0
Malawi_2016,340.0,7334170.0,62.681000000000004,17205289.0
Malawi_2017,340.0,7563865.0,63.278999999999996,17670260.0
Malawi_2018,350.0,7799084.0,63.798,18143315.0
Malaysia_2015,10680.0,14612026.0,75.461,30270962.0
Malaysia_2016,10150.0,14851647.0,75.649,30684804.0
Malaysia_2017,9940.0,15114465.0,75.828,31105028.0
Malaysia_2018,10590.0,15381536.0,75.997,31528585.0
Namibia_2016,4700.0,897022.0,62.625,2358041.0
Namibia_2017,4610.0,904494.0,63.021,2402603.0
Namibia_2018,4900.0,911498.0,63.373000000000005,2448255.0
Niger_2015,520.0,7225239.0,60.631,20001663.0
Niger_2016,500.0,7503949.0,61.137,20788838.0
Niger_2017,490.0,7799638.0,61.599,21602472.0
Niger_2018,540.0,8111179.0,62.023999999999994,22442948.0
Nigeria_2015,2880.0,54559255.0,53.111999999999995,181137448.0
Nigeria_2016,2470.0,55288066.0,53.541000000000004,185960289.0
Nigeria_2017,2100.0,56831352.0,53.95,190873311.0
Nigeria_2018,1970.0,58403811.0,54.332,195874740.0
Nicaragua_2015,1910.0,2832718.0,73.649,6223240.0
Nicaragua_2016,2000.0,2890622.0,73.86,6303974.0
Nicaragua_2017,2080.0,2947535.0,74.068,6384855.0
Nicaragua_2018,2020.0,2992406.0,74.275,6465513.0
Netherlands_2015,49810.0,9034853.0,81.509756097561,16939923.0
Netherlands_2016,46900.0,9051897.0,81.5609756097561,17030314.0
Netherlands_2017,47140.0,9111169.0,81.7609756097561,17131296.0
Netherlands_2018,51310.0,9227941.0,81.8121951219512,17231624.0
Norway_2015,93110.0,2762074.0,82.3048780487805,5188607.0
Norway_2016,81810.0,2769807.0,82.4073170731707,5234519.0
Norway_2017,76210.0,2762942.0,82.609756097561,5276968.0
Norway_2018,80640.0,2799958.0,82.7585365853659,5311916.0
Nepal_2015,780.0,14970822.0,69.515,27015031.0
Nepal_2016,770.0,15384208.0,69.848,27261131.0
Nepal_2017,860.0,15853018.0,70.169,27627124.0
Nepal_2018,970.0,16359487.0,70.47800000000001,28087871.0
New Zealand_2015,40560.0,2513183.0,81.45682926829271,4595700.0
New Zealand_2016,39390.0,2608432.0,81.6124390243903,4693200.0
New Zealand_2017,38170.0,2696341.0,81.65853658536591,4793900.0
New Zealand_2018,41100.0,2721966.0,81.85853658536591,4841000.0
Oman_2015,17790.0,2349315.0,76.887,4267348.0
Pakistan_2015,1360.0,67754731.0,66.577,199426964.0
Pakistan_2016,1420.0,69170840.0,66.77,203627284.0
Pakistan_2017,1500.0,70602092.0,66.947,207896686.0
Pakistan_2018,1590.0,72040845.0,67.11399999999999,212215030.0
Panama_2015,12200.0,1858187.0,77.77600000000001,3968487.0
Panama_2016,12780.0,1910880.0,77.964,4037078.0
Panama_2017,13750.0,1937154.0,78.149,4106771.0
Panama_2018,14420.0,2029802.0,78.329,4176873.0
Peru_2015,6340.0,16583446.0,75.792,30470734.0
Peru_2016,6110.0,16965614.0,76.044,30926032.0
Peru_2017,6060.0,17810899.0,76.286,31444297.0
Peru_2018,6470.0,18346713.0,76.516,31989256.0
Philippines_2015,3380.0,43017635.0,70.64399999999999,102113212.0
Philippines_2016,3450.0,43863054.0,70.80199999999999,103663927.0
Philippines_2017,3530.0,43007823.0,70.952,105173264.0
Philippines_2018,3710.0,43864623.0,71.095,106651922.0
Poland_2015,13350.0,18315532.0,77.4512195121951,37986412.0
Poland_2016,12680.0,18376997.0,77.85121951219509,37970087.0
Poland_2017,12740.0,18443681.0,77.7536585365854,37974826.0
Poland_2018,14150.0,18391322.0,77.60243902439029,37974750.0
Puerto Rico_2016,19710.0,1134198.0,79.4949756097561,3406672.0
Portugal_2015,20440.0,5216392.0,81.1243902439025,10358076.0
Portugal_2016,19930.0,5203775.0,81.1243902439025,10325452.0
Portugal_2017,20050.0,5248650.0,81.42439024390251,10300300.0
Portugal_2018,21990.0,5267545.0,81.3243902439024,10283822.0
Paraguay_2015,5620.0,3240419.0,73.66199999999999,6688746.0
